day,hour,minute,sec,round(csec),prn,Lvec,signal level,phase hist
0.0,0.0,3.0,12,17.0,2,1,-0.6678689726805758,-0.0012953742560390161
0.0,0.0,3.0,12,18.0,2,0,-0.39518227889663016,-0.0031112226204373867
0.0,0.0,3.0,12,18.0,2,1,-0.6702102198125368,-0.001297005548352678
0.0,0.0,3.0,12,19.0,2,0,-0.3953998086388395,-0.0031167359606434275
0.0,0.0,3.0,12,19.0,2,1,-0.6727252259322485,-0.001299004633348952
0.0,0.0,3.0,12,20.0,2,0,-0.39555902322628356,-0.0031213487007994635
0.0,0.0,3.0,12,20.0,2,1,-0.6753450395734111,-0.001301724457140316
0.0,0.0,3.0,12,21.0,2,0,-0.3956584931059626,-0.003125354818697529
0.0,0.0,3.0,12,21.0,2,1,-0.6778853847340316,-0.0013049868958374827
0.0,0.0,3.0,12,22.0,2,0,-0.3956566044026991,-0.0031288557873318168
0.0,0.0,3.0,12,22.0,2,1,-0.6802039472797343,-0.0013081820768856064
0.0,0.0,3.0,12,23.0,2,0,-0.39556515339074905,-0.003131713988490224
0.0,0.0,3.0,12,23.0,2,1,-0.68229061341746,-0.0013110807491838396
0.0,0.0,3.0,12,24.0,2,0,-0.3953747618442377,-0.0031341192365889714
0.0,0.0,3.0,12,24.0,2,1,-0.6842982838520983,-0.0013138267524888405
0.0,0.0,3.0,12,25.0,2,0,-0.39512645811382796,-0.0031364432030211277
0.0,0.0,3.0,12,25.0,2,1,-0.6863103237617993,-0.0013164934062536889
0.0,0.0,3.0,12,26.0,2,0,-0.3949910591366846,-0.00313901571161298
0.0,0.0,3.0,12,26.0,2,1,-0.688241515437805,-0.001318921423584105
0.0,0.0,3.0,12,27.0,2,0,-0.3950172325750835,-0.0031416250451080895
0.0,0.0,3.0,12,27.0,2,1,-0.6900563122837022,-0.0013211548489929772
0.0,0.0,3.0,12,28.0,2,0,-0.3950869355215317,-0.0031438664154518525
0.0,0.0,3.0,12,28.0,2,1,-0.6917556304960353,-0.0013233174862681799
0.0,0.0,3.0,12,29.0,2,0,-0.395107074070947,-0.003145753399510983
0.0,0.0,3.0,12,29.0,2,1,-0.6933195896271214,-0.0013253868776119527
0.0,0.0,3.0,12,30.0,2,0,-0.39506338070237373,-0.0031475055533089686
0.0,0.0,3.0,12,30.0,2,1,-0.6948182614467178,-0.0013274976721416134
0.0,0.0,3.0,12,31.0,2,0,-0.39501924313811365,-0.003149330972105183
0.0,0.0,3.0,12,31.0,2,1,-0.6963804844193291,-0.0013299556100214668
0.0,0.0,3.0,12,32.0,2,0,-0.39496876292440897,-0.0031511435806178684
0.0,0.0,3.0,12,32.0,2,1,-0.6980277816302656,-0.0013331388862962026
0.0,0.0,3.0,12,33.0,2,0,-0.3948089270770042,-0.003152841538877607
0.0,0.0,3.0,12,33.0,2,1,-0.6996652965595522,-0.00133682505606853
0.0,0.0,3.0,12,34.0,2,0,-0.3945694671660946,-0.003154708826550239
0.0,0.0,3.0,12,34.0,2,1,-0.7012344035876059,-0.0013403709444893554
0.0,0.0,3.0,12,35.0,2,0,-0.3943927417326756,-0.0031566587349830806
0.0,0.0,3.0,12,35.0,2,1,-0.7027229257985033,-0.0013435504556316624
0.0,0.0,3.0,12,36.0,2,0,-0.39437587766309057,-0.003158497338980969
0.0,0.0,3.0,12,36.0,2,1,-0.7041154920663444,-0.0013465231254765394
0.0,0.0,3.0,12,37.0,2,0,-0.39443294384740085,-0.003160170125956307
0.0,0.0,3.0,12,37.0,2,1,-0.7053922511571781,-0.0013496556263636232
0.0,0.0,3.0,12,38.0,2,0,-0.39437164118001405,-0.0031615760761368487
0.0,0.0,3.0,12,38.0,2,1,-0.7065323723372342,-0.0013529391546762387
0.0,0.0,3.0,12,39.0,2,0,-0.3942812411875269,-0.003162958337686697
0.0,0.0,3.0,12,39.0,2,1,-0.7076001896684919,-0.0013563561208854724
0.0,0.0,3.0,12,40.0,2,0,-0.3942893828907713,-0.003164380980167262
0.0,0.0,3.0,12,40.0,2,1,-0.7087049072824148,-0.0013602936051717827
0.0,0.0,3.0,12,41.0,2,0,-0.39428653615754145,-0.0031658018517876597
0.0,0.0,3.0,12,41.0,2,1,-0.70988771408266,-0.0013646169186739953
0.0,0.0,3.0,12,42.0,2,0,-0.3942195005706316,-0.0031673733266381217
0.0,0.0,3.0,12,42.0,2,1,-0.7111595729220059,-0.001368698640224651
0.0,0.0,3.0,12,43.0,2,0,-0.39402491251853994,-0.0031690863268683525
0.0,0.0,3.0,12,43.0,2,1,-0.7125337777579803,-0.0013723779117138883
0.0,0.0,3.0,12,44.0,2,0,-0.39364678270037706,-0.003170848527908206
0.0,0.0,3.0,12,44.0,2,1,-0.7140241996958391,-0.0013761336929294203
0.0,0.0,3.0,12,45.0,2,0,-0.3932022207560982,-0.0031728755436642177
0.0,0.0,3.0,12,45.0,2,1,-0.7156507445998925,-0.0013799677583678626
0.0,0.0,3.0,12,46.0,2,0,-0.392746322516927,-0.003175444378447669
0.0,0.0,3.0,12,46.0,2,1,-0.7173553267908718,-0.0013831939351949289
0.0,0.0,3.0,12,47.0,2,0,-0.39223024985259586,-0.0031780173768138063
0.0,0.0,3.0,12,47.0,2,1,-0.7190978722999708,-0.0013856689906857564
0.0,0.0,3.0,12,48.0,2,0,-0.3916827855363452,-0.0031800791186921765
0.0,0.0,3.0,12,48.0,2,1,-0.7208459558695377,-0.001388070757558386
0.0,0.0,3.0,12,49.0,2,0,-0.3911369418242364,-0.003181947326938547
0.0,0.0,3.0,12,49.0,2,1,-0.7224944537788747,-0.0013908660900297212
0.0,0.0,3.0,12,50.0,2,0,-0.39058844289390837,-0.0031838372272193403
0.0,0.0,3.0,12,50.0,2,1,-0.7240769734549612,-0.0013936774504042864
0.0,0.0,3.0,12,51.0,2,0,-0.39001656067327084,-0.003185684659168352
0.0,0.0,3.0,12,51.0,2,1,-0.7256835240247774,-0.001396238110726731
0.0,0.0,3.0,12,52.0,2,0,-0.3893830341871616,-0.0031878979291274467
0.0,0.0,3.0,12,52.0,2,1,-0.7273090566819946,-0.001398802979519636
0.0,0.0,3.0,12,53.0,2,0,-0.3887399713157542,-0.003190602192468137
0.0,0.0,3.0,12,53.0,2,1,-0.7289477662162959,-0.001401250539445141
0.0,0.0,3.0,12,54.0,2,0,-0.3880711994306483,-0.0031930335366001806
0.0,0.0,3.0,12,54.0,2,1,-0.7305567925067176,-0.001403078299100042
0.0,0.0,3.0,12,55.0,2,0,-0.3873275752128955,-0.0031949478968718143
0.0,0.0,3.0,12,55.0,2,1,-0.7320670052905555,-0.0014042194915015694
0.0,0.0,3.0,12,56.0,2,0,-0.38663453351994753,-0.003196747157915082
0.0,0.0,3.0,12,56.0,2,1,-0.7335274010287808,-0.0014049831100894424
0.0,0.0,3.0,12,57.0,2,0,-0.3860449553476827,-0.0031985758529968007
0.0,0.0,3.0,12,57.0,2,1,-0.7350443756999459,-0.0014056276872620867
0.0,0.0,3.0,12,58.0,2,0,-0.38543586040406314,-0.003200254582314037
0.0,0.0,3.0,12,58.0,2,1,-0.7365494267554,-0.0014067182640277863
